_id,verb,sentence,verb_idx,label
fb56e991-ea32-45a3-b918-ae7e253b4c7e,kommen,"Heute allerdings muss man mit Ernst hinzufügen: Einigen Menschen, vor allen Dingen einigen Szenen, die so aussahen, als wären sie aus dem Kino leibhaftig in die Wirklichkeit gekommen, wäre man nicht gern begegnet, hätte man nicht gern erlebt.",27,0
466d0e5e-262c-4097-83eb-7a50812140d1,begegnen,"Heute allerdings muss man mit Ernst hinzufügen: Einigen Menschen, vor allen Dingen einigen Szenen, die so aussahen, als wären sie aus dem Kino leibhaftig in die Wirklichkeit gekommen, wäre man nicht gern begegnet, hätte man nicht gern erlebt.",32,0
ef12b6e2-5196-469d-8299-b70ec56271a1,gestalten,"Es eröffnet Perspektiven, die man gelegentlich über den Job hinaus braucht, die wir alle nötig brauchen; jedenfalls dann, wenn wir uns miteinander vornehmen, das Leben der Menschen besser, toleranter, aber auch friedlicher zu gestalten.",33,0
fde9b105-2b13-4d70-b340-7ab15e7a46a6,hereinkommen,"Inzwischen - das möchte ich Ihnen gerne versichern - ist die Berlinale wirklich völlig frei von politischem Reinreden, und zwar nicht zuletzt deshalb und gerade jetzt, weil wir neben dem, was am Kartenverkauf hereinkommt, die alleinige Finanzierung des Festivals übernommen haben.",31,0
b933714f-c1fb-42a2-9fd6-79fe31cfa02f,auslaufen,"Wenn mit dem Jahr 2003 das Filmförderungsgesetz, das jetzt gilt, ausgelaufen sein wird, dann werden wir bei der Neuregelung alle diese Anregungen aufnehmen, und ich denke, wir werden auch zu einer deutlichen Erhöhung kommen, vor allen Dingen aber zu einer zielgenaueren Förderung dessen, was wir wollen.",10,0
42f9a0ed-9c3d-4104-86c1-85bc22ba5a17,rauben,"Zugleich mahnt uns die Botschaft der Häftlinge, nicht bei der Rekonstruktion des Leidens zu verweilen, denn es war je gerade das Leben außerhalb des Lagers, das ihnen geraubt wurde, das Leben ohne Häftlingsnummer und Appell.",27,0
80e739cd-d594-4e70-be9d-cc0ecdf06661,aufsteigen,"Die Orte von Leid, Unterdrückung und Tod sind längst zu wichtigen historischen Quellen aufgestiegen, zu Beweismitteln auch, ohne die das Gedenken gegen Ignoranz und Lüge nicht bestehen kann.",13,0
6a5de34e-5b46-4dfe-b378-0413e1aa6b93,wachhalten,"Gedenkstätten werden weiterentwickelt zu modernen zeithistorischen Museen, die die Erinnerung an die Staatsverbrechen des vergangenen Jahrhunderts wachhalten werden. - Vorbildlich in diesem Gesamtprozess waren und sind die Gedenkstätte und das Museum Sachsenhausen, für die der Bund und das Land Brandenburg seit Bestehen der Stiftung Brandenburgische Gedenkstätten rund 16 Millionen Euro  bereitgestellt haben.",16,0
c18cda23-073f-429e-b11f-6fd2f14cb4a8,eindämmen,"Wir werden ihn nur durch eine Politik der Prävention eindämmen können, wenn es uns gelingt, gemeinsam einen neuen Anlauf zu machen, um seine vielfältigen Ursachen wirksam zu bekämpfen.",9,0
b0d128c6-be2e-4b7c-989c-65c45cc8ddb2,schlagen,"Menschenrechte sind kein Luxusgut, kein Orchideenthema, das in den Hintergrund rücken kann, wenn die Stunde der Sicherheitspolitik wieder schlägt.",18,1
